tick,rate_hz,batch,backend,observed_p99_ns,sla_ns,under_sla
0,10000,1,cpu,700,150000,1
1,10000,2,cpu,1000,150000,1
2,50000,4,cpu,1600,150000,1
3,100000,8,cpu,7500,150000,1
4,500000,16,cpu,13600,150000,1
5,1e+06,32,cpu,38000,150000,1
6,1e+06,64,cpu,75000,150000,1
7,500000,128,cpu,119300,150000,1
8,100000,128,cpu,112000,150000,1
9,50000,128,cpu,96400,150000,1
10,10000,128,cpu,106000,150000,1
11,10000,128,cpu,112000,150000,1
12,50000,128,cpu,122300,150000,1
13,100000,128,cpu,128000,150000,1
14,500000,128,cpu,138000,150000,1
15,1e+06,128,cpu,106100,150000,1
16,1e+06,128,cpu,110000,150000,1
17,500000,128,cpu,130900,150000,1
18,100000,128,cpu,116100,150000,1
19,10000,128,cpu,119800,150000,1
