tick,rate_hz,batch,backend,observed_p99_ns,sla_ns,under_sla
0,10000,1,cpu,700,150000,1
1,10000,2,cpu,1000,150000,1
2,50000,4,cpu,1600,150000,1
3,100000,8,cpu,5800,150000,1
4,500000,16,cpu,27100,150000,1
5,1e+06,32,cpu,51900,150000,1
6,1e+06,64,cpu,67800,150000,1
7,500000,128,cuda-naive,200200,150000,0
8,100000,64,cpu,68500,150000,1
9,50000,128,cpu,130000,150000,1
10,10000,128,cpu,128800,150000,1
11,10000,128,cpu,139100,150000,1
12,50000,128,cpu,133900,150000,1
13,100000,128,cpu,144300,150000,1
14,500000,128,cpu,143800,150000,1
15,1e+06,128,cuda-naive,150600,150000,0
16,1e+06,64,cpu,54300,150000,1
17,500000,128,cuda-naive,168000,150000,0
18,100000,64,cpu,57100,150000,1
19,10000,128,cpu,120200,150000,1
