backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns
cpu,1,0,20000,1000,1600,24800,360100,300,1083.95
cuda-naive,1,0,20000,52100,1.6364e+06,3.3188e+06,1.29282e+07,19500,117890
cuda-graphs,1,0,20000,98100,1.8957e+06,3.7593e+06,8.3188e+06,30800,232834
persistent,1,0,20000,5500,155500,1.2935e+06,2.3421e+06,200,14848
cpu,1,1000,20000,900,35800,662500,2.9399e+06,600,4010.59
cuda-naive,1,1000,20000,76500,1.3694e+06,2.5019e+06,4.0838e+06,200800,262090
cuda-graphs,1,1000,20000,106500,1.4563e+06,2.5211e+06,2.4339e+07,110900,263341
cpu,1,10000,20000,700,6400,49800,951200,300,987.035
cuda-naive,1,10000,20000,84200,310700,1.4122e+06,4.02256e+07,32600,107778
cuda-graphs,1,10000,20000,167400,403900,1.1176e+06,1.6595e+07,22600,181587
cpu,1,50000,20000,700,2800,39800,366100,200,951.735
cuda-naive,1,50000,20000,102600,252800,522000,4.2538e+06,40000,114849
cuda-graphs,1,50000,20000,131500,285100,440700,790200,53400,143093
cpu,1,100000,20000,600,3900,14700,100100,400,755.615
cuda-naive,1,100000,20000,126300,279200,538000,2.1762e+06,41300,127481
cuda-graphs,1,100000,20000,124000,304600,784200,5.3236e+06,44700,141124
cpu,1,250000,20000,700,1200,7500,61900,0,743.575
cuda-naive,1,250000,20000,81000,206100,542800,2.4198e+06,11800,87430.3
cuda-graphs,1,250000,20000,120500,304800,1.0242e+06,8.022e+06,40900,137265
cpu,2,0,20000,800,1600,14800,174000,200,964.935
cuda-naive,2,0,20000,81400,177600,397600,1.3352e+06,9000,86259
cuda-graphs,2,0,20000,100300,223900,544100,2.407e+06,14300,110448
persistent,2,0,20000,12900,51000,95700,620300,2400,19678.1
cpu,2,1000,20000,2000,17400,123500,2.3425e+06,500,3077.99
cuda-naive,2,1000,20000,93000,2.1544e+06,1.2576e+07,6.95369e+07,56900,250831
cuda-graphs,2,1000,20000,164400,1.4726e+06,4.065e+06,9.3513e+06,65200,253118
cpu,2,10000,20000,1300,3900,66500,1.1884e+06,100,1751.3
cuda-naive,2,10000,20000,80600,333000,1.694e+06,2.49789e+07,24400,100302
cuda-graphs,2,10000,20000,101700,441400,1.7841e+06,6.4867e+06,43100,130030
cpu,2,50000,20000,1300,2000,52300,1.6987e+06,200,1732.96
cuda-naive,2,50000,20000,75300,279300,1.1479e+06,4.8769e+06,5200,86419.6
cuda-graphs,2,50000,20000,100700,381400,1.5684e+06,5.5202e+06,43100,123666
cpu,2,100000,20000,1300,2000,24700,925500,200,1437.44
cuda-naive,2,100000,20000,76200,294200,1.3684e+06,7.4772e+06,7300,90663.5
cuda-graphs,2,100000,20000,97700,379500,2.1012e+06,3.00582e+07,4500,117614
cpu,2,250000,20000,1200,1800,8000,1.0235e+06,300,1265.11
cuda-naive,2,250000,20000,74000,303400,935100,2.75813e+07,5200,85442.3
cuda-graphs,2,250000,20000,97400,368300,1.7124e+06,3.39706e+07,1600,114084
cpu,4,0,20000,1200,2300,4900,6.638e+06,400,1855.27
cuda-naive,4,0,20000,74300,291700,973600,1.78712e+07,5700,86063.8
cuda-graphs,4,0,20000,97500,372300,1.806e+06,1.79073e+08,2900,126746
persistent,4,0,20000,25400,81800,860100,5.7199e+06,3100,33021.8
cpu,4,1000,20000,2600,15800,465900,1.8984e+06,500,4470.37
cuda-naive,4,1000,20000,183200,1.6381e+06,4.9022e+06,1.9408e+07,60700,271445
cuda-graphs,4,1000,20000,169500,1.566e+06,4.712e+06,2.58301e+07,67000,260296
cpu,4,10000,20000,2500,6600,109000,794300,300,2944.84
cuda-naive,4,10000,20000,79000,464000,3.0185e+06,4.5516e+07,8400,102770
cuda-graphs,4,10000,20000,97900,305200,1.2147e+06,3.29983e+07,6800,113758
cpu,4,50000,20000,2500,4100,42500,2.2743e+06,300,3012.42
cuda-naive,4,50000,20000,77400,388700,2.3263e+06,2.78786e+07,7300,93818.4
cuda-graphs,4,50000,20000,97800,336100,1.4559e+06,1.05632e+07,3000,112931
cpu,4,100000,20000,2400,3600,68300,231900,500,2494.62
cuda-naive,4,100000,20000,77400,315000,1.4657e+06,2.2528e+07,8900,91700.1
cuda-graphs,4,100000,20000,97800,360600,1.5343e+06,1.40791e+07,2500,113577
cpu,4,250000,20000,2100,3100,49600,679500,600,2233.91
cuda-naive,4,250000,20000,78800,301900,1.5675e+06,1.05336e+08,11100,99352.7
cuda-graphs,4,250000,20000,100800,377700,1.2468e+06,3.51088e+07,28600,122517
cpu,8,0,20000,2200,4400,39600,2.1458e+06,400,2885.15
cuda-naive,8,0,20000,76100,296800,1.3814e+06,2.29488e+07,6600,91517.9
cuda-graphs,8,0,20000,101000,378400,1.9031e+06,3.32068e+07,30100,125595
persistent,8,0,20000,47000,124500,774300,3.3886e+06,6600,53045.7
cpu,8,1000,20000,5000,21000,236600,1.5591e+06,600,6560.04
cuda-naive,8,1000,20000,90200,1.3633e+06,4.114e+06,1.12502e+07,20500,187495
cuda-graphs,8,1000,20000,154100,1.4276e+06,4.1284e+06,4.04106e+07,66000,252694
cpu,8,10000,20000,4900,11700,299300,3.64836e+07,600,7438.47
cuda-naive,8,10000,20000,116100,497500,2.2707e+06,2.26639e+07,16400,136433
cuda-graphs,8,10000,20000,143500,486500,1.8985e+06,2.35627e+07,14400,167039
cpu,8,50000,20000,4700,6000,288500,1.7463e+06,600,5466.06
