backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns,p9999_ns
cpu,1,0,20000,300,800,1100,2600,100,342.85,2500
cuda-naive,1,0,20000,50400,81800,173200,1.2728e+06,16000,45732.8,1.0892e+06
cuda-graphs,1,0,20000,56600,101800,203000,538600,5100,61173,393300
persistent,1,0,20000,6300,6700,23200,219400,200,6391.07,135300
cpu,1,1000,20000,1300,35300,265100,9.9237e+06,900,4504.83,7.9039e+06
cuda-naive,1,1000,20000,138500,1.3649e+06,3.9425e+06,1.81135e+07,107700,229833,1.68826e+07
cuda-graphs,1,1000,20000,191100,1.3784e+06,3.8211e+06,1.60182e+07,68400,255978,1.51994e+07
cpu,1,10000,20000,1100,3500,58700,377700,300,1491.27,229000
cuda-naive,1,10000,20000,81300,159500,1.0144e+06,1.4346e+07,13900,87311.8,4.4026e+06
cuda-graphs,1,10000,20000,108800,241900,421600,5.9706e+06,51100,129984,3.8966e+06
cpu,1,50000,20000,1100,1800,20700,413900,100,1169.89,329000
cuda-naive,1,50000,20000,74400,142800,277200,886200,18100,74507.7,842400
cuda-graphs,1,50000,20000,105100,181200,370000,1.2909e+06,11500,110023,1.2084e+06
cpu,1,100000,20000,1000,1900,10400,264500,400,981.695,109500
cuda-naive,1,100000,20000,78900,172500,306700,3.2162e+06,35700,92110.1,1.486e+06
cuda-graphs,1,100000,20000,104900,185600,386900,929600,10700,107543,908300
cpu,1,250000,20000,700,1700,2400,25900,400,755.175,25700
cuda-naive,1,250000,20000,79000,171800,319900,893200,14100,85925.2,838900
cuda-graphs,1,250000,20000,107400,167800,342500,6.18e+06,10800,112314,5.0566e+06
cpu,2,0,20000,600,1200,1600,34600,0,638.09,10900
cuda-naive,2,0,20000,73200,129100,253300,511500,12700,72090.6,502800
cuda-graphs,2,0,20000,103600,174700,331300,872200,11200,105882,570600
persistent,2,0,20000,12900,50600,136600,2.9863e+06,500,19896.8,379000
cpu,2,1000,20000,2500,37700,148000,2.9812e+06,1400,4871.52,1.7188e+06
cuda-naive,2,1000,20000,138000,1.4857e+06,3.4677e+06,9.9229e+06,75100,227680,5.2977e+06
cuda-graphs,2,1000,20000,142400,1.3287e+06,4.0137e+06,7.61562e+07,66200,232855,3.08453e+07
cpu,2,10000,20000,2000,7200,46300,1.2833e+06,600,2241.94,840300
cuda-naive,2,10000,20000,86500,188700,435300,3.0378e+06,47100,101997,1.145e+06
cuda-graphs,2,10000,20000,140900,240000,489600,4.6071e+06,44000,131689,3.5291e+06
cpu,2,50000,20000,1400,3800,9000,3.1615e+06,200,1630.93,465600
cuda-naive,2,50000,20000,81400,201600,925500,3.9992e+06,33500,94682.2,3.2975e+06
cuda-graphs,2,50000,20000,141900,242300,382100,1.3478e+06,54000,136700,1.0603e+06
cpu,2,100000,20000,600,2000,12200,61800,200,792.39,50100
cuda-naive,2,100000,20000,86500,224900,553600,1.63122e+07,17900,94643.8,5.1881e+06
cuda-graphs,2,100000,20000,109500,241700,466400,2.5987e+06,43300,123138,2.3734e+06
cpu,2,250000,20000,600,1400,16300,59000,100,710.005,57400
cuda-naive,2,250000,20000,75800,171000,569800,1.3929e+06,8800,85667,1.2695e+06
cuda-graphs,2,250000,20000,113000,410800,1.1122e+06,4.8363e+06,48900,133961,4.618e+06
cpu,4,0,20000,1500,3700,35000,307300,500,1695.48,89800
cuda-naive,4,0,20000,103000,290600,811100,1.5258e+06,46500,108539,1.4484e+06
cuda-graphs,4,0,20000,159500,359100,603900,1.6623e+06,24000,160873,1.3905e+06
persistent,4,0,20000,25500,82100,174900,4.4259e+06,4300,32338.9,839800
cpu,4,1000,20000,3600,22900,252300,2.5873e+06,1700,4882.15,1.6804e+06
cuda-naive,4,1000,20000,138100,1.4561e+06,3.2996e+06,1.86953e+07,68800,222288,8.3592e+06
cuda-graphs,4,1000,20000,214000,1.7789e+06,2.7756e+06,5.1738e+06,35900,292812,4.4474e+06
cpu,4,10000,20000,3900,19600,178900,6.5212e+06,400,5287.37,2.5224e+06
cuda-naive,4,10000,20000,83100,166000,984600,4.9122e+06,16100,89228.6,1.442e+06
cuda-graphs,4,10000,20000,106900,179000,341400,4.1872e+06,10600,108080,1.0446e+06
cpu,4,50000,20000,2700,6400,33600,193700,500,2968.64,181900
cuda-naive,4,50000,20000,83300,146900,297100,1.2525e+06,14900,88298.4,1.0761e+06
cuda-graphs,4,50000,20000,107300,177000,341400,1.10328e+07,11200,114941,2.5946e+06
cpu,4,100000,20000,2500,4700,20600,508300,300,2770.22,487100
cuda-naive,4,100000,20000,82900,147400,285200,4.6146e+06,16300,88067.7,2.6392e+06
cuda-graphs,4,100000,20000,107600,214100,384400,3.2864e+06,42100,118553,1.7906e+06
cpu,4,250000,20000,2100,4200,7100,234600,1000,2222.37,154400
cuda-naive,4,250000,20000,81500,145400,281800,910900,12000,84988.1,731700
cuda-graphs,4,250000,20000,107600,181300,348100,867300,10300,115756,827100
cpu,8,0,20000,2200,3400,8800,180300,300,2322.9,69000
