backend,batch,offered_rows_s,capacity_rows_s,utilization,p50_ns,p99_ns,p999_ns,max_ns,stable
cpu,1,10000,1e+06,0.01,1000,1000,1897.08,2761.51,1
cpu,1,50000,1e+06,0.05,1000,1815.56,2098.46,3508.1,1
cpu,1,100000,1e+06,0.1,1000,1949.27,2638.85,3904.11,1
cpu,1,500000,1e+06,0.5,1000,4298.56,6188.9,10255,1
cpu,1,1e+06,1e+06,1,449228,594278,614167,625944,0
cpu,1,2e+06,1e+06,2,5.02627e+07,9.92076e+07,1.00136e+08,1.00231e+08,0
cpu,1,3e+06,1e+06,3,6.68422e+07,1.32139e+08,1.33358e+08,1.33488e+08,0
cpu,8,10000,3.63636e+06,0.00275,2200,3365.8,4292.68,4399.91,1
cpu,8,50000,3.63636e+06,0.01375,2200,4192.51,4378.34,4399.98,1
cpu,8,100000,3.63636e+06,0.0275,2200,4294.71,4389.25,4400,1
cpu,8,500000,3.63636e+06,0.1375,2967.95,4370.64,4396.73,4400,1
cpu,8,1e+06,3.63636e+06,0.275,3245.6,4377.67,4398.31,5154.55,1
cpu,8,2e+06,3.63636e+06,0.55,3331.17,4567.68,5232.71,6589.93,1
cpu,8,3e+06,3.63636e+06,0.825,3665.23,6470.36,7861.76,9591.62,1
cpu,32,10000,3.63636e+06,0.00275,8800,16558.4,17493.7,17599.9,1
cpu,32,50000,3.63636e+06,0.01375,8800,17379.4,17578.5,17599.9,1
cpu,32,100000,3.63636e+06,0.0275,11128,17468.5,17586.5,17600,1
cpu,32,500000,3.63636e+06,0.1375,13192.3,17515,17591.8,17600,1
cpu,32,1e+06,3.63636e+06,0.275,13196.1,17511.3,17590.6,17599.9,1
cpu,32,2e+06,3.63636e+06,0.55,13173.2,17513.3,17592.7,18436.5,1
cpu,32,3e+06,3.63636e+06,0.825,13386.2,18280.3,19865.3,22563,1
cpu,128,10000,3.58543e+06,0.00278906,35700,70325.5,71289.8,71399.9,1
cpu,128,50000,3.58543e+06,0.0139453,51849.9,70991.8,71352,71400,1
cpu,128,100000,3.58543e+06,0.0278906,53367.9,71029.5,71361.1,71400,1
cpu,128,500000,3.58543e+06,0.139453,53567.6,71040.5,71362.6,71399.7,1
cpu,128,1e+06,3.58543e+06,0.278906,53509.9,71030.8,71364.5,71399.8,1
cpu,128,2e+06,3.58543e+06,0.557813,53430.5,71037.1,71363.4,71399.9,1
cpu,128,3e+06,3.58543e+06,0.836719,53559.8,71079.8,71398.7,75775.8,1
cpu,256,10000,2.64736e+06,0.00377734,126037,192043,193262,193400,1
cpu,256,50000,2.64736e+06,0.0188867,144973,192410,193292,193399,1
cpu,256,100000,2.64736e+06,0.0377734,145067,192448,193301,193400,1
cpu,256,500000,2.64736e+06,0.188867,145082,192446,193304,193400,1
cpu,256,1e+06,2.64736e+06,0.377734,144960,192432,193306,193400,1
cpu,256,2e+06,2.64736e+06,0.755469,145227,192429,193314,193400,1
cpu,256,3e+06,2.64736e+06,1.1332,4.75351e+06,9.07215e+06,9.18507e+06,9.22391e+06,0
cuda-naive,1,10000,19193.9,0.521,56201.1,235272,336565,556849,1
cuda-naive,1,50000,19193.9,2.605,3.22052e+09,6.36412e+09,6.42304e+09,6.42926e+09,0
cuda-naive,1,100000,19193.9,5.21,4.21529e+09,8.33997e+09,8.41635e+09,8.42463e+09,0
cuda-naive,1,500000,19193.9,26.05,5.0111e+09,9.92068e+09,1.0011e+10,1.00209e+10,0
cuda-naive,1,1e+06,19193.9,52.1,5.11058e+09,1.01183e+10,1.02103e+10,1.02205e+10,0
cuda-naive,1,2e+06,19193.9,104.2,5.16031e+09,1.02171e+10,1.031e+10,1.03202e+10,0
cuda-naive,1,3e+06,19193.9,156.3,5.17689e+09,1.025e+10,1.03432e+10,1.03535e+10,0
cuda-naive,8,10000,105125,0.095125,90705.1,150917,152066,152200,1
cuda-naive,8,50000,105125,0.475625,114463,151931,172077,223291,1
cuda-naive,8,100000,105125,0.95125,173599,507913,609293,693754,1
cuda-naive,8,500000,105125,4.75625,7.52391e+08,1.48839e+09,1.50204e+09,1.50351e+09,0
cuda-naive,8,1e+06,105125,9.5125,8.51858e+08,1.68597e+09,1.70135e+09,1.70304e+09,0
cuda-naive,8,2e+06,105125,19.025,9.01592e+08,1.78476e+09,1.80101e+09,1.80281e+09,0
cuda-naive,8,3e+06,105125,28.5375,9.1817e+08,1.81769e+09,1.83423e+09,1.83606e+09,0
cuda-naive,32,10000,423280,0.023625,89886.9,149955,151071,151200,1
cuda-naive,32,50000,423280,0.118125,113179,150438,151129,151200,1
cuda-naive,32,100000,423280,0.23625,113408,150445,151129,151200,1
