backend,batch,offered_rows_s,capacity_rows_s,utilization,p50_ns,p99_ns,p999_ns,max_ns,stable
cpu,1,10000,3.33333e+06,0.003,300,300,494.33,661.506,1
cpu,1,50000,3.33333e+06,0.015,300,395.31,581.043,852.301,1
cpu,1,100000,3.33333e+06,0.03,300,500.133,594.071,954.052,1
cpu,1,500000,3.33333e+06,0.15,300,633.826,873.549,1315.34,1
cpu,1,1e+06,3.33333e+06,0.3,300,864.163,1224.44,1904.91,1
cpu,1,2e+06,3.33333e+06,0.6,410.529,1640.73,2335.37,3613.74,1
cpu,1,3e+06,3.33333e+06,0.9,1215.37,6658.34,9122.62,10689.9,1
cpu,8,10000,3.63636e+06,0.00275,2200,3365.8,4292.68,4399.91,1
cpu,8,50000,3.63636e+06,0.01375,2200,4192.51,4378.34,4399.98,1
cpu,8,100000,3.63636e+06,0.0275,2200,4294.71,4389.25,4400,1
cpu,8,500000,3.63636e+06,0.1375,2967.95,4370.64,4396.73,4400,1
cpu,8,1e+06,3.63636e+06,0.275,3245.6,4377.67,4398.31,5154.55,1
cpu,8,2e+06,3.63636e+06,0.55,3331.17,4567.68,5232.71,6589.93,1
cpu,8,3e+06,3.63636e+06,0.825,3665.23,6470.36,7861.76,9591.62,1
cpu,32,10000,3.51648e+06,0.00284375,9100,17164.9,18092.5,18199.9,1
cpu,32,50000,3.51648e+06,0.0142187,9100,17978.3,18175.9,18200,1
cpu,32,100000,3.51648e+06,0.0284375,11647.7,18065.2,18185.3,18200,1
cpu,32,500000,3.51648e+06,0.142187,13657.1,18114.7,18190.4,18200,1
cpu,32,1e+06,3.51648e+06,0.284375,13644.1,18109.2,18191.4,18200,1
cpu,32,2e+06,3.51648e+06,0.56875,13642.1,18110.2,18191.9,19784.6,1
cpu,32,3e+06,3.51648e+06,0.853125,13958.7,19437.6,21373.2,23333.6,1
cpu,128,10000,3.56546e+06,0.00280469,35900,70719.7,71686.2,71799.9,1
cpu,128,50000,3.56546e+06,0.0140234,52195.6,71390.1,71750.9,71800,1
cpu,128,100000,3.56546e+06,0.0280469,53694.4,71445.9,71760.2,71799.8,1
cpu,128,500000,3.56546e+06,0.140234,53936.3,71450,71764.6,71799.9,1
cpu,128,1e+06,3.56546e+06,0.280469,53846.7,71454.9,71765.6,71799.8,1
