backend,metric,median_us,min_us,max_us,spread
cpu,p50,0.30,0.30,0.90,3.000
cpu,p99,1.10,0.70,1.40,2.000
cpu,p999,1.50,0.80,1.90,2.375
cuda-graphs,p50,146.90,111.40,171.60,1.540
cuda-graphs,p99,395.90,378.70,440.30,1.163
cuda-graphs,p999,2525.40,1376.00,4278.20,3.109
cuda-naive,p50,62.30,53.40,85.70,1.605
cuda-naive,p99,280.40,248.00,615.80,2.483
cuda-naive,p999,623.50,473.60,7272.00,15.355
persistent,p50,7.30,6.30,7.40,1.175
persistent,p99,26.20,24.70,26.80,1.085
persistent,p999,123.00,105.90,355.00,3.352
