backend,metric,median_us,min_us,max_us,spread
cpu,p50,0.50,0.30,0.90,3.000
cpu,p99,1.30,0.80,2.00,2.500
cpu,p999,1.50,1.30,7.20,5.538
cuda-graphs,p50,111.60,99.80,171.90,1.722
cuda-graphs,p99,373.10,276.40,635.40,2.299
cuda-graphs,p999,1478.30,754.50,4882.70,6.471
cuda-naive,p50,91.90,79.80,122.60,1.536
cuda-naive,p99,308.80,276.00,395.70,1.434
cuda-naive,p999,1316.70,616.30,3678.50,5.969
persistent,p50,6.20,6.10,7.20,1.180
persistent,p99,26.80,25.60,27.60,1.078
persistent,p999,179.30,84.40,533.80,6.325
